ID,Language_ID,Name,Description,Part_Of_Speech,Parameter_ID,Comment,Paradigm_View,Source
achi-wilderness,yab,achi,,n,wilderness,,,
aijkorono-recovered,yab,aijkorono,,n,recovered,,,
ajpachi-undergrowth,yab,ajpachi,,n,undergrowth,,,
ajyu-tucuma-palm,yab,ajyu,,n,tucuma (palm),,,
ako-pylon,yab,ako,,n,pylon,,,
aki-worm,yab,akï,,n,worm; maggot,,,
amaka-sweet-yucca,yab,amaka,,n,sweet yucca,,,
amu-ripeness,yab,amu,,n,ripeness,,,
ami-unidentified-plant,yab,amï,,n,unidentified plant,,,
ana-1-3pro,yab,ana,,pn,1+3PRO,,,
anaijke-wild-pineapple-sp,yab,anaijkë,,n,wild pineapple sp.,,,
anake-ant-sp,yab,anakë,,n,ant sp.,,,
anau-ant-sp,yab,anau,,n,ant sp.,,,
anoto-annatto,yab,anoto,,n,annatto,,,
anta-island,yab,anta,,n,island,,,
ante-fish-hook,yab,antë,,n,fish hook,,,
apa-decrease,yab,apa,,vi,decrease,,,
apereku-ceiba,yab,apereku,,n,ceiba,,,
aperemu-chrysalis,yab,aperemu,,n,chrysalis,,,
api-ripeness,yab,api,,n,ripeness,,,
apo-later,yab,apo,,adv,later; meanwhile,,,
aponte-seat,yab,apontë,,n,seat; nest,,,
apuni-soap,yab,apuni,,n,soap,,,
apemiti-bracelet,yab,apëmïti,,n,bracelet,,,
arajmate-dangerous,yab,arajmatë,,adv,dangerous,,,
arata-horned-beetle,yab,arata,,n,horned beetle,,,
arauruku-wild-grape-sp,yab,arauruku,,n,wild grape sp.,,,
araway-wild-pineapple-sp,yab,araway,,n,wild pineapple sp.,,,
araya-monkey-spider,yab,araya,,n,monkey spider,,,
arina-trembler,yab,arina,,n,trembler,,,
aro-rice,yab,aro,,n,rice,,,
arojpete-garbage,yab,arojpëtë,,n,garbage,,,
arokate-difficult,yab,arokatë,,adv,difficult,,,
aroma-limpet,yab,aroma,,n,limpet,,,
aropoko-ball-game,yab,aropoko,,n,ball game,,,
asakontompene-four,yab,asakontompene,,adv,four,,,
asake-two,yab,asakë,,adv,two,,,
asare-get-stuck,yab,asarë,,vi,get stuck,,,
asere-dry-cough,yab,asere,,n,dry cough,,,
asuka-sugar,yab,asuka,,n,sugar,,,
ati-plot-of-cultivated-land,yab,ati,,n,plot of cultivated land,,,
awajpe-mountain-eagle,yab,awajpë,,n,mountain eagle,,,
awarake-wasp-sp,yab,awarakë,,n,wasp sp.,,,
awochi-tumor,yab,awochi,,n,tumor,,,
chai-son-voc,yab,chai,,n,son (voc.),,,
chijchipu-body-movement,yab,chijchipu,,n,body movement,,,
chika-bite,yab,chika,,vt,bite,,,
chike-chigger,yab,chikë,,n,chigger,,,
chima-path,yab,chima,,n,path,,,
chimichimi-worm-dog,yab,chimichimi,,n,worm (dog),,,
chipiyu-fungus-sp,yab,chipiyu,,n,fungus.sp,,,
chiramu-mange,yab,chiramu,,n,mange,,,
chirike-star,yab,chirikë,,n,star,,,
chiri-titi-monkey,yab,chiri,,n,titi monkey,,,
chiri-wild-pineapple,yab,chiri,,n,wild pineapple,,,
chiyakono-friend,yab,chiyakono,,n,friend,,,
chekey-nit,yab,chëkëy,,n,nit,,,
ejne-1-2pro,yab,ejnë,,pn,1+2PRO,,,
enijpete-one,yab,enijpëtë,,adv,one,,,
enire-now,yab,enirë,,adv,now; today,,,
entono-from-here,yab,entono,,n,from here,,,
ente-here-loc,yab,entë,,adv,here.LOC,,,
epe-escape,yab,epe,,vi,escape; hide and seek,,,
eretapi-cultivated-plant,yab,eretapi,,n,cultivated plant,,,
ewine-here-all,yab,ewinë,,adv,here.ALL,,,
ijmoy-egg,yab,ijmoy,,n,egg,,,
ijpu-summit,yab,ijpu,,n,summit,,,
inawe-have,yab,inawë,,postp,have,,,
ini-see,yab,ini,,vt,see,,,
intipijke-small,yab,intipijkë,,adv,small,? + [](morphemes.csv#cldf:pijkedim),,
iriyawe-then,yab,iriyawë,,adv,then,,,
irejpe-then,yab,irëjpë,,adv,then,,,
ita-hear,yab,ita,,vt,hear,,,
iyajtepe-before,yab,iyajtëpe,,adv,before,,,
iyajte-care-for,yab,iyajtë,,vt,care for,,,
jta-foot,yab,jta,,n,foot,,,
jwaka-ill-aq,yab,jwaka,,postp,ILL.AQ; LOC.AQ,,,
kaimo-game,yab,kaimo,,n,game,,,
kamere-lightning,yab,kamere,,n,lightning,,,
kampara-big,yab,kampara,,n,big,,,
kamwiyajka-change,yab,kamwiyajka,,vt,change,,,
kapau-dasypus-novemcinctus,yab,kapau,,n,dasypus novemcinctus,,,
karasake-white,yab,karasake,,adv,white,Probably contains [mp](keprop).,,
ka-take-out,yab,ka,,vt,take out,,,
kasajpe-fruit-pit,yab,kasajpë,,n,fruit pit,,,
kaso-fat,yab,kaso,,n,fat,,,
kawono-high,yab,kawono,,n,high,,,
kawe-high,yab,kawë,,adv,high,,,
kayami-louse,yab,kayamï,,n,louse,,,
kaya-barbasco,yab,kaya,,n,barbasco,,,
kaya-gourd,yab,kaya,,n,gourd,,,
kejkepe-salamander,yab,kejkepe,,n,salamander,,,
kinta-become-tired,yab,kinta,,vi,become tired,,,
kocha-tail,yab,kocha,,n,tail,,,
kojpa-night,yab,kojpa,,n,night,,,
konopo-rain,yab,konopo,,n,rain,,,
ko-brassolis-sophorae,yab,ko,,n,brassolis sophorae,,,
kuku-answer,yab,kuku,,vt,answer,,,
kune-cook,yab,kunë,,vt,cook,,,
kuru-prochilodus-mariae,yab,kuru,,n,prochilodus mariae,,,
kuruwa-coroba-palm,yab,kuruwa,,n,coroba palm,,,
kuya-tree-sp,yab,kuya,,n,tree.sp,,,
kuyuwi-bird-sp,yab,kuyuwi,,n,bird.sp,,,
kejma-hunt,yab,këjma,,vt,hunt,,,
kemu-pus,yab,këmu,,n,pus,,,
keta-stink,yab,këta,,vi,stink,,,
ketejwate-cotton,yab,këtëjwatë,,n,cotton,,,
keya-think,yab,këya,,vi,think,,,
kimiy-chili,yab,kïmïy,,n,chili,,,
kiripi-go-out,yab,kïrïpï,,vi,go out,,,
maka-ceiba-pentandra,yab,maka,,n,ceiba pentandra,,,
makarike-cayman,yab,makarikë,,n,cayman,,,
makuyupi-catfish-sp,yab,makuyupi,,n,catfish.sp,,,
make-mom,yab,makë,,n,mom,,,
mapara-chicken,yab,mapara,,n,chicken,,,
mare-still,yab,marë,,adv,still,,,
mati-breast,yab,mati,,n,breast,,,
mejya-cover,yab,mejya,,n,cover,,,
miti-root,yab,miti,,n,root; vein,,,
mone-vagina,yab,mone,,n,vagina,,,
moneka-girl-voc,yab,moneka,,n,girl.VOC,,,
monkontomo-2pl-pro,yab,monkontomo,,pn,2PL.PRO,,,
moroko-fish,yab,moroko,,n,fish,,,
morone-hurting,yab,morone,,adv,hurting,,,
moroni-pain,yab,moroni,,n,pain,,,
morono-poison,yab,morono,,n,poison,,,
moto-worm,yab,moto,,n,worm,,,
moyochi-spider-sp,yab,moyochi,,n,spider (sp.),,,
mujna-grave,yab,mujna,,n,grave,,,
mujyane-pregnancy,yab,mujyanë,,n,pregnancy,,,
muku-child,yab,muku,,n,child,,,
mune-bulbous,yab,mune,,adv,bulbous,,,
munta-budding,yab,munta,,vi,budding,,,
mejki-dist-anim,yab,mëjkï,,pn,DIST.ANIM,,,
mere-2pro,yab,mërë,,pn,2PRO,,,
mijna-there-all,yab,mïjna,,adv,there.ALL,,,
minte-there-loc,yab,mïntë,,adv,there.LOC,,,
mira-priodontes-maximus,yab,mïra,,n,priodontes maximus,,,
nai-do,yab,nai,,vt,do,,,
najmo-grandmother,yab,najmo,,n,grandmother,,,
najpi-grandfather,yab,najpï,,n,grandfather,,,
najwata-harbor,yab,najwata,,n,harbor,,,
naki-thirst,yab,naki,,n,thirst,,,
nata-door,yab,nata,,n,door,,,
nepi-bring,yab,nepï,,vt,bring,,,
nono-earth,yab,nono,,n,earth,,,
nope-good,yab,nope,,adv,good,,,
noro-parrot-sp,yab,noro,,n,parrot.sp,,,
noti-potential-partner,yab,noti,,n,potential partner; cross cousin,,,
nta-mouth,yab,nta,,n,mouth,,,
nune-moon,yab,nunë,,n,moon,,,
nu-tongue,yab,nu,,n,tongue,,,
nwajte-dance,yab,nwajtë,,vi,dance,,,
neme-leave,yab,nëmë,,vt,leave,,,
ojpa-give-drink,yab,ojpa,,vt,give drink,,,
onono-another,yab,onono,,n,another,,,
orojyamo-evil-being,yab,orojyamo,,n,evil being,,,
pachi-older-sister-of-woman,yab,pachi,,n,older sister of woman,,,
paka-cow,yab,paka,,n,cow,,,
pakara-basket,yab,pakara,,n,basket,,,
pakura-coix-lacryma-jobi,yab,pakura,,n,Coix lacryma-jobi,,,
paku-arrow-tip,yab,paku,,n,arrow tip,,,
pana-ear,yab,pana,,n,ear,,,
pana-dat,yab,pana,,postp,DAT,,,
papa-father,yab,papa,,n,father,,,
parujpe-broth,yab,parujpë,,n,broth,,,
pata-village,yab,pata,,n,village,,,
pata-axe,yab,pata,,n,axe,,,
pate-cross,yab,patë,,vt,cross,,,
penare-before,yab,penarë,,adv,before,,,
pene-piranha,yab,pene,,n,piranha,,,
pepoye-above-perl,yab,pepoye,,postp,above.PERL,,,
pe-palm-sp,yab,pe,,n,palm.sp,,,
peti-leg,yab,peti,,n,leg,,,
peye-turtle-sp,yab,peye,,n,turtle.sp,,,
picha-capuchin-monkey,yab,picha,,n,capuchin monkey,,,
pichipichi-whitebait,yab,pichipichi,,n,whitebait,,,
pijpe-skin,yab,pijpë,,n,skin,,,
pika-peel,yab,pika,,vt,peel,,,
pike-fart,yab,pikë,,n,fart,,,
pipi-younger-brother-of-woman,yab,pipi,,n,younger brother of woman,,,
pirini-walk,yab,pirini,,vi,walk,,,
pojte-want,yab,pojtë,,vt,want,,,
poroko-basket-sp,yab,poroko,,n,basket.sp,,,
poseti-belly,yab,poseti,,n,belly,,,
pota-mouth,yab,pota,,n,mouth; shore,,,
poye-above,yab,poye,,postp,above,,,
punu-flesh,yab,punu,,n,flesh,,,
putu-feel,yab,putu,,vt,feel,,,
peke-about,yab,pëkë,,postp,about,,,
penaka-return,yab,pënaka,,vt,return,Maybe derived with [mp](kavbz).,,
pimi-neck,yab,pïmï,,n,neck,,,
pirika-endure,yab,pïrïka,,vt,endure,,,
roka-wash,yab,roka,,vt,wash,,,
roko-crazy,yab,roko,,n,crazy,,,
romoye-downriver,yab,romoye,,adv,downriver,,,
rotoro-doctor,yab,rotoro,,n,doctor,,,
rui-older-brother,yab,rui,,n,older brother,,,
sai-penis,yab,sai,,n,penis,,,
sakara-hoplias-malabaricus,yab,sakara,,n,hoplias malabaricus,,,
sakau-sand,yab,sakau,,n,sand,,,
saku-sweet-potato,yab,saku,,n,sweet potato,,,
samo-cry,yab,samo,,vi,cry,,,
sampu-black-piranha,yab,sampu,,n,black piranha,,,
sapara-heavy-pot,yab,sapara,,n,heavy pot,,,
sare-here-all,yab,sarë,,adv,here.ALL,,,
sawo-rapids,yab,sawo,,n,rapids,,,
sepami-get-married,yab,sepamï,,vi,get married,,,
sere-bitter-manioc,yab,sere,,n,bitter manioc,,,
sojpa-take-out,yab,sojpa,,vt,take out,,,
sopika-skin,yab,sopika,,vt,skin,,,
sukase-all,yab,sukase,,adv,all,,,
sukutaka-yucuta,yab,sukutaka,,n,yucuta,,,
surukupi-fish-sp,yab,surukupi,,n,fish.sp,,,
sema-die,yab,sëma,,vi,die,Looks like a DETRZ?,,
tajme-ugly,yab,tajme,,adv,ugly,,,
tajnomo-piaroa,yab,tajnomo,,n,Piaroa,,,
tajromini-bad-omen,yab,tajromini,,n,bad omen,,,
tajropo-have-fever,yab,tajropo,,vi,have fever,,,
takono-other,yab,takono,,n,other,,,
takunu-laziness,yab,takunu,,n,laziness,,,
tapa-beat,yab,tapa,,vt,beat,,,
tarine-fast,yab,tarine,,adv,fast,Derived with _-ne_?,,
taro-say,yab,taro,,vt,say,,,
tawani-darkness,yab,tawani,,n,darkness,,,
tawa-nyctidromus-albicollis,yab,tawa,,n,nyctidromus albicollis,,,
tejwetunu-sick,yab,tejwetunu,,n,sick,,,
temeki-defend,yab,temekï,,vt,defend,,,
tojpa-hit,yab,tojpa,,vt,hit,,,
tonko-play,yab,tonko,,vi,play,,,
torono-bird,yab,torono,,n,bird,,,
torote-cemetery,yab,torotë,,n,cemetery,,,
toto-non-indian,yab,toto,,n,non-Indian,,,
tujnaka-iller,yab,tujnaka,,adv,iller,,,
tuna-water,yab,tuna,,n,water,,,
tunami-hide,yab,tunamï,,vt,hide,,,
tu-give,yab,tu,,vt,give,,,
te-loc,yab,të,,postp,LOC,,,
teijpo-far,yab,tëijpo,,adv,far; long,,,
tejta-hollow,yab,tëjta,,n,hollow,,,
tewi-3pro,yab,tëwï,,pn,3PRO,,,
tewisantomo-3pro-pl,yab,tëwïsantomo,,pn,3PRO.PL,,,
waijta-mouse,yab,waijta,,n,mouse,,,
waijte-head,yab,waijtë,,n,head,,,
waimu-language,yab,waimu,,n,language,,,
waimu-speak,yab,waimu,,vi,speak,,,
wajto-fire,yab,wajto,,n,fire,,,
wajyaki-happy,yab,wajyakï,,n,happy,,,
wajyaki-be-happy,yab,wajyakï,,vi,be happy,,,
wajyama-kiss,yab,wajyama,,vt,kiss,,,
wanapu-savannah,yab,wanapu,,n,savannah,,,
wanene-aunt,yab,wanene,,n,aunt,,,
waraijtokomo-man,yab,waraijtokomo,,n,man,,,
waraijto-husband,yab,waraijto,,n,husband,,,
warota-work,yab,warota,,vi,work,,,
waruwa-hoti,yab,waruwa,,n,hoti,,,
wasayi-attalea-maripa,yab,wasayi,,n,attalea maripa,,,
wati-burn,yab,watï,,vi,burn,,,
wawe-loc-aq,yab,wawë,,postp,LOC.AQ,,,
weka-defecate,yab,weka,,vi,defecate,,,
wena-vomit,yab,wena,,n,vomit,,,
wenkepi-forget,yab,wenkepï,,vi,forget,,,
wepi-come,yab,wepï,,vi,come,,,
wereta-arrive,yab,wereta,,vi,arrive,Potentially derived with [mp](tavbz).,,
werewere-mosquito-sp,yab,werewere,,n,mosquito sp.,,,
wereyi-cloud,yab,wereyi,,n,cloud,,,
weroro-dog,yab,weroro,,n,dog,,,
weseyu-be-brave,yab,weseyu,,vi,be brave,,,
wiriyamo-woman,yab,wiriyamo,,n,woman,,,
wejka-fall,yab,wëjka,,vi,fall,,,
wejte-go-down,yab,wëjtë,,vi,go down,,,
we-kill,yab,wë,,vt,kill,,,
winiki-sleep,yab,wïnïkï,,vi,sleep,,,
wire-1pro,yab,wïrë,,pn,1PRO,,,
ya-ra-grandchild,yab,ya'ra,,n,grandchild,,,
yajno-brother-in-law-man,yab,yajno,,n,brother in law (man),,,
yaka-all,yab,yaka,,postp,ALL,,,
yaka-dig-out,yab,yaka,,vt,dig out,,,
yamane-make,yab,yamanë,,vt,make,,,
yami-pick-up,yab,yamï,,vt,pick up,,,
yane-mother,yab,yanë,,n,mother,,,
yaniki-call,yab,yanïkï,,vt,call,,,
yapijtomo-old,yab,yapijtomo,,n,old,Fossilized _-tomo_.,,
yapechi-grab,yab,yapëchi,,vt,grab,,,
yarika-laugh,yab,yarika,,vi,laugh,,,
yaruwa-laugh,yab,yaruwa,,vi,laugh,,,
yare-bring,yab,yarë,,vt,bring,,,
yatane-adolescent,yab,yatanë,,n,adolescent,,,
yatunu-day,yab,yatunu,,n,day; sun,,,
yate-loc,yab,yatë,,postp,LOC,,,
yawaka-sow,yab,yawaka,,vt,sow,,,
yawaki-grate,yab,yawakï,,vt,grate,,,
yawanka-kill,yab,yawanka,,vt,kill,,,
yaye-loc,yab,yaye,,postp,LOC,,,
yemekunu-five,yab,yemekunu,,n,five,,,
yeme-eat-fruits-eggs-soup,yab,yeme,,vt,"eat (fruits, eggs, soup)",,,
yenepe-send-away,yab,yenepe,,vt,send away,,,
yepema-pay,yab,yepema,,vt,pay,Potentially derived with [mp](macaus).,,
yojma-mix,yab,yojma,,vt,mix,Maybe from [mp](oki-chicha) and [mp](macaus)?,,
yojte-fish-with-hook,yab,yojtë,,vt,fish with hook,,,
yoko-pimple,yab,yoko,,n,pimple,,,
yoki-eat-starch,yab,yokï,,vt,eat (starch),,,
yopo-find,yab,yopo,,vt,find,,,
yujwa-burn,yab,yujwa,,vt,burn,,,
yumpe-fairly,yab,yumpe,,adv,fairly; much,,,
yutu-forest,yab,yutu,,n,forest,,,
ye-tooth,yab,yë,,n,tooth,,,
yejpe-bone,yab,yëjpë,,n,bone,,,
yempeka-offend,yab,yëmpëka,,vt,offend,,,
yeni-drink,yab,yëni,,vt,drink,,,
yene-eat-meat,yab,yënë,,vt,eat (meat),,,
yewuku-answer,yab,yëwuku,,vt,answer,,,
yeye-tree,yab,yëye,,n,tree,,,
yipi-mountain,yab,yïpï,,n,mountain,,,
ejpina-often,yab,ëjpïna,,adv,often,,,
ekere-jaguar,yab,ëkërë,,n,jaguar,,,
empare-already,yab,ëmpare,,adv,already,,,
enuku-go-up,yab,ënuku,,vi,go up,,,
erine-cooking-pot,yab,ërinë,,n,cooking pot,,,
etipa-go-in-group,yab,ëtïpa,,vi,go in group,,,
ya-erg,yab,ya,,postp,ERG,,,
ya-obl,yab,ya,,postp,OBL,,,
yawe-loc,yab,yawë,,postp,LOC,,,
tawara-too,yab,tawara,,adv,too,,,
chi-cop,yab,chi,,vi,COP,*eti,,
waraij-like,yab,waraij,,postp,like,,,
te-go,yab,të,,vi,go,Irregularly inflected.,,
ke-ins,yab,ke,,postp,INS,,,
ewenke-ignorant,yab,ewenke,,postp,ignorant,,,
suku-urine,yab,suku,,n,urine,,,
mesuku-blood,yab,mesuku,,n,blood,-tu PERT,,
enka-finish,yab,ënka,,vt,finish,,,
enejka-watch,yab,enejka,,vt,watch,,,
tawejka-dawn,yab,tawejka,,vi,dawn,,,
aniki-who,yab,anïkï,,pn,who,,,
ka-say,yab,ka,,vi,say,,,
iwiti-house,yab,ïwïtï,,n,house,,,
tawaja-thus-neg,yab,tawaja,,adv,thus.NEG,"Looks suspiciously like [mp](tawara-too) and [mp](janeg), but the combination would be unexpected.",,
kanta-sing,yab,kanta,,vi,sing,,,
ekete-where,yab,ëkëtë,,adv,where,,,
eki-chicha,yab,ëkï,,n,chicha,,,
womi-enter,yab,womï,,vi,enter,,,
i-put,yab,i,,vt,put,,,
peremeki-talk,yab,përemekï,,vi,talk,,,
yekerema-boast-sexually,yab,yekerema,,vt,boast sexually,,,
sukuri-silently,yab,sukuri,,adv,silently,,,
yare-alone,yab,yarë,,postp,alone,,,
wera-like,yab,wëra,,postp,like,,,
po-loc,yab,po,,postp,LOC,,,
tewijna-there-ana,yab,tëwïjna,,adv,there.ANA,Potentially morphologically complex; related to [mp](tewi-3pro)?,,
ese-name,yab,ese,,n,name,,,
empami-learn,yab,ëmpamï,,vi,learn,,,
yakucho-p-a,yab,yakucho,,n,P. A.,,,
akino-younger-brother,yab,akino,,n,younger brother,,,
yakara-believe,yab,yakara,,vi,believe,,,
pupuri-bactris-gasipaes,yab,pupuri,,n,Bactris gasipaes,,,
pijiguao-bactris-gasipaes,yab,pijiguao,,n,Bactris gasipaes,,,
awo-uncle,yab,awo,,n,uncle; father in law,,,
ejwe-hammock,yab,ejwe,,n,hammock,,,
yakete-cut,yab,yakëtë,,vt,cut,,,
parangana-pot,yab,parangana,,n,pot,Spanish loan.,,
tampa-become-angry,yab,tampa,,vi,become angry,,,
nanka-find,yab,nanka,,vt,find,,,
akono-younger-sister-of-woman,yab,akono,,n,younger sister of woman,,,
nwa-glute,yab,nwa,,n,glute,,,
ejne-below,yab,ëjnë,,postp,below,,,
erepunu-sick,yab,erepunu,,n,sick,,,
sarampion-measles,yab,sarampion,,n,measles,Spanish loan.,,
joti-hoti,yab,joti,,n,hoti,,,
akere-relative,yab,akërë,,n,relative,,,
u-starchy-food,yab,u,,n,starchy food,,,
wintika-disappear,yab,wintika,,vi,disappear,,,
sawankuwi-die,yab,sawankuwi,,vi,die,,,
yawarana-yawarana,yab,yawarana,,n,Yawarana,,,
wine-from,yab,winë,,postp,from,,,
kunawo-brother-in-law,yab,kuñawo,,n,brother in law,Spanish loan.,,
kanejte-weave,yab,kanejtë,,vi,weave,Maybe with [mp](jtevbz)?,,
indigena-indigenous-person,yab,indigena,,n,indigenous person,,,
pekepene-alone,yab,pëkëpene,,postp,alone,,,
kajwe-coffee,yab,kajwe,,n,coffee,Spanish loan.,,
kapitan-chief,yab,kapitan,,n,chief,Spanish loan.,,
are-leaf,yab,are,,n,leaf; hair,,,
ron-rum,yab,ron,,n,rum,Spanish loan.,,
pike-when,yab,pïkë,,postp,when,,,
peremeki-speak,yab,peremekï,,vi,speak,,,
sanaka-heal,yab,sanaka,,vi,heal,,,
sempinuku-close-eyes,yab,sëmpinuku,,vi,close eyes,,,
pe-ess,yab,pe,,postp,ESS,,,
kerejpe-old,yab,kërëjpë,,n,old,Looks like a lexicalized *-jpë*.,,
kere-old,yab,kërë,,n,old,Bound root?,,
enu-eye,yab,ënu,,n,eye,,,
emekunu-hand,yab,emekunu,,n,hand,,,
ere-liver,yab,ere,,n,liver,,,
oti-meat,yab,oti,,n,meat,,,
ena-nose,yab,ëna,,n,nose,,,
echi-smoke,yab,ëchi,,n,smoke,,,
tepu-stone,yab,tëpu,,n,stone,,,
ape-arm-wing,yab,apë,,n,"arm, wing",,,
yeremutu-ash,yab,yeremutu,,n,ash,,,
kanawa-canoe,yab,kanawa,,n,canoe,,,
kemichini-be-cold,yab,këmïchini,,vi,be cold,,,
yakuri-agouti,yab,yakuri,,n,agouti,,,
makampra-aunt,yab,makampra,,n,aunt,older sister of mother,,
yemi-be-hungry,yab,yëmï,,vi,be hungry,,,
ijmojka-cook,yab,ijmojka,,vt,cook,,,
padrastro-stepfather,yab,padrastro,,n,stepfather,,,
akere-with,yab,akërë,,postp,with,,,
ka-all,yab,ka,,postp,ALL,,,
maijte-go-imp,yab,maijtë,,vi,go.IMP,,,
ejnomo-ejnomo,yab,ejnomo,,n,ejnomo,mother of the water,,
enirepeke-recently,yab,enirëpëke,,adv,recently,,,
sujta-urinate,yab,sujta,,vi,urinate,,,
kaimota-hunt,yab,kaimota,,vi,hunt,,,
meteta-thin,yab,mëtëta,,vi,thin,,,
yokota-grow-pimple,yab,yokota,,vi,grow pimple,,,
erepunta-become-sick,yab,erepunta,,vi,become sick,,,
wereyta-cloud-over,yab,wereyta,,vi,cloud over,,,
wanaputa-grow-savannah-grass,yab,wanaputa,,vi,grow savannah grass,,,
sakauta-get-sandy,yab,sakauta,,vi,get sandy,,,
rokota-become-crazy,yab,rokota,,vi,become crazy,,,
punta-form-pulp,yab,punta,,vi,form pulp,,,
piketa-fart,yab,pikëta,,vi,fart,,,
pichipichita-form-whitebait,yab,pichipichita,,vi,form whitebait,,,
nakita-be-thirsty,yab,nakita,,vi,be thirsty,,,
mukuta-have-son,yab,mukuta,,vi,have son,,,
motota-fill-with-worms,yab,motota,,vi,fill with worms,,,
moronta-hurt,yab,moronta,,vi,hurt,,,
mesujta-bleed,yab,mesujta,,vi,bleed,,,
kereta-ripen,yab,kërëta,,vi,ripen,,,
kemuta-emit-pus,yab,këmuta,,vi,emit pus,,,
konopota-start-rainy-season,yab,konopota,,vi,start rainy season,,,
kawonota-get-high,yab,kawonota,,vi,get high,,,
kamparata-grow,yab,kamparata,,vi,grow; change (voice),,,
chekeyta-fill-with-nits,yab,chëkëyta,,vi,fill with nits,,,
chimichimita-fill-with-worms-dog,yab,chimichimita,,vi,fill with worms (dog),,,
chiketa-get-chiggers,yab,chikëta,,vi,get chiggers,,,
awochita-form-tumor,yab,awochita,,vi,form tumor,,,
asereta-have-dry-cough,yab,asereta,,vi,have dry cough,,,
aijkoronota-recover,yab,aijkoronota,,vi,recover,,,
ajpachita-overgrows,yab,ajpachita,,vi,overgrows,,,
akita-fill-with-worms,yab,akïta,,vi,fill with worms,,,
apita-ripen,yab,apita,,vi,ripen,,,
amuta-ripen,yab,amuta,,vi,ripen,,,
chijchiputa-move-body,yab,chijchiputa,,vi,move body,,,
kasota-fatten,yab,kasota,,vi,fatten,,,
takunuta-slack-off,yab,takunuta,,vi,slack off,,,
werewereta-swarm-mosquitos,yab,werewereta,,vi,swarm (mosquitos),,,
keyata-grow,yab,këyata,,vi,grow,,,
majta-become-thin,yab,majta,,vi,become thin,,,
paijta-swell-river,yab,paijta,,vi,swell (river),,,
wenaka-vomit,yab,wenaka,,vt,vomit,,,
ajpachika-weed,yab,ajpachika,,vt,weed,,,
mejyaka-uncover,yab,mejyaka,,vt,uncover,,,
moronka-make-suffer,yab,moronka,,vt,make suffer,,,
mujnaka-dig-out,yab,mujnaka,,vt,dig out,,,
pataka-take-out,yab,pataka,,vt,take out,,,
ejnai-make-self,yab,ëjnai,,vi,make self,,,
ejwenaka-vomit,yab,ëjwenaka,,vi,vomit,,,
serema-eat,yab,serema,,vi,eat,,,
senka-finish,yab,sënka,,vi,finish,,,
ejneme-remain,yab,ëjnëmë,,vi,remain,Interesting semantics?,,
senejka-stay,yab,senejka,,vi,stay,,,
apataka-come-out,yab,apataka,,vi,come out,,,
sereka-become-tired,yab,sereka,,vi,become tired,,,
esene-see-self,yab,esene,,vi,see self,,,
atapej-seize-on,yab,atapëj,,vi,seize on,,,
ejpenaka-return,yab,ëjpënaka,,vi,return,,,
katupuma-pile-up,yab,katupuma,,vt,pile up,,,
keyama-raise,yab,këyama,,vt,raise,,,
kirima-thicken,yab,kïrïma,,vt,thicken,,,
morontama-cause-pain,yab,morontama,,vt,cause pain,,,
pejma-bewitch,yab,pejma,,vt,bewitch,,,
yajwema-sweeten,yab,yajwema,,vt,sweeten,,,
yapima-make-worse,yab,yapima,,vt,make worse,,,
yatuma-warm,yab,yatuma,,vt,warm,,,
yerema-feed,yab,yerema,,vt,feed,,,
yakarama-tell,yab,yakarama,,vt,tell,,,
kojpaye-at-night,yab,kojpaye,,adv,at night,,,
kamprake-big,yab,kamprake,,adv,big,,,
tejpore-tasty,yab,tejpore,,adv,tasty,,,
tapire-red,yab,tapire,,adv,red,,,
pechine-odorous,yab,pëchine,,adv,odorous,,,
makepijke-second-mother,yab,makëpïjkë,,n,second mother,,,
meteye-thin,yab,mëtëye,,adv,thin,,,
tepeti-go-plur,yab,tëpëti,,vi,go (PLUR),,,
sejpeti-dream,yab,sejpëti,,vi,dream,,,
mujnajte-bury,yab,mujnajtë,,vt,bury,,,
ajpachike-undergrowth-prop,yab,ajpachi-ke,,,undergrowth-PROP,,,
asereke-dry-cough-prop,yab,asere-ke,,,dry_cough-PROP,,,
enirono-now-nmlz,yab,eniro-no,,,now-NMLZ; today-NMLZ,,,
ijmokani-cook-agtnmlz,yab,ijmoka-ni,,,cook-AGTNMLZ,,,
kaimoke-game-prop,yab,kaimo-ke,,,game-PROP,,,
kamparake-big-prop,yab,kampara-ke,,,big-PROP,,,
kereke-old-prop,yab,kërë-ke,,,old-PROP,,,
nonoke-earth-prop,yab,nono-ke,,,earth-PROP,,,
nopano-good-nmlz,yab,nop-ano,,,good-NMLZ,,,
panake-ear-prop,yab,pana-ke,,,ear-PROP,,,
pejmani-bewitch-agtnmlz,yab,pejma-ni,,,bewitch-AGTNMLZ,,,
teijpono-far-nmlz,yab,teijpo-no,,,far-NMLZ; long-NMLZ,,,
tejporemi-tasty-nmlz,yab,tejpore-mï,,,tasty-NMLZ,,,
tajtoj-say-circ-nmlz,yab,taj-toj,,,say-CIRC.NMLZ,,,
inpo-see-des,yab,in-po,,,see-DES,,,
senkatoj-finish-circ-nmlz,yab,s-ënka-toj,,,finish-CIRC.NMLZ,,,
tipapej-go-in-group-plur,yab,tipa-pëj,,,go_in_group-PLUR,,,
tepeti-go-plur-1,yab,të-pëti,,,go-PLUR,,,
